COG	Cat	COG_Annotation	Gene_ID	Locus_Tag	Gene_Product_Name	Genome_ID	Genome_Name	Start_Coord	End_Coord	NCBI_Biosample_Accession
COG0042	J	tRNA-dihydrouridine_synthase	8019257304	Ga0599601_01_202661_203659	nifR3_family_TIM-barrel_protein	8019257108	Enterococcus_faecalis_1521	202661	203659	SAMN23424733
COG0042	J	tRNA-dihydrouridine_synthase	8019259593	Ga0599601_01_2550768_2551742	tRNA-dihydrouridine_synthase	8019257108	Enterococcus_faecalis_1521	2550768	2551742	SAMN23424733
COG0044	F	Dihydroorotase_or_related_cyclic_amidohydrolase	8019258545	Ga0599601_01_1450007_1451290	dihydroorotase	8019257108	Enterococcus_faecalis_1521	1450007	1451290	SAMN23424733
COG0044	F	Dihydroorotase_or_related_cyclic_amidohydrolase	8019259050	Ga0599601_01_2007185_2008558	dihydropyrimidinase	8019257108	Enterococcus_faecalis_1521	2007185	2008558	SAMN23424733
COG0044	F	Dihydroorotase_or_related_cyclic_amidohydrolase	8019259409	Ga0599601_01_2360997_2362361	allantoinase	8019257108	Enterococcus_faecalis_1521	2360997	2362361	SAMN23424733
COG0046	F	Phosphoribosylformylglycinamidine_(FGAM)_synthase,_synthetase_domain	8019258607	Ga0599601_01_1508924_1511143	phosphoribosylformylglycinamidine_synthase_II	8019257108	Enterococcus_faecalis_1521	1508924	1511143	SAMN23424733
COG0047	F	Phosphoribosylformylglycinamidine_(FGAM)_synthase,_glutamine_amidotransferase_domain	8019258608	Ga0599601_01_1511140_1511814	phosphoribosylformylglycinamidine_synthase_I	8019257108	Enterococcus_faecalis_1521	1511140	1511814	SAMN23424733
COG0048	J	Ribosomal_protein_S12	8019257238	Ga0599601_01_148706_149119	small_subunit_ribosomal_protein_S12	8019257108	Enterococcus_faecalis_1521	148706	149119	SAMN23424733
COG0049	J	Ribosomal_protein_S7	8019257239	Ga0599601_01_149175_149645	small_subunit_ribosomal_protein_S7	8019257108	Enterococcus_faecalis_1521	149175	149645	SAMN23424733
COG0050	J	Translation_elongation_factor_EF-Tu,_a_GTPase	8019257241	Ga0599601_01_151961_153148	elongation_factor_Tu	8019257108	Enterococcus_faecalis_1521	151961	153148	SAMN23424733
COG0051	J	Ribosomal_protein_S10	8019257244	Ga0599601_01_155940_156248	small_subunit_ribosomal_protein_S10	8019257108	Enterococcus_faecalis_1521	155940	156248	SAMN23424733
COG0052	J	Ribosomal_protein_S2	8019258907	Ga0599601_01_1858596_1859381	small_subunit_ribosomal_protein_S2	8019257108	Enterococcus_faecalis_1521	1858596	1859381	SAMN23424733
COG0053	P	Divalent_metal_cation_(Fe/Co/Zn/Cd)_transporter	8019257345	Ga0599601_01_223626_224561	cation_diffusion_facilitator_family_transporter	8019257108	Enterococcus_faecalis_1521	223626	224561	SAMN23424733
COG0053	P	Divalent_metal_cation_(Fe/Co/Zn/Cd)_transporter	8019257705	Ga0599601_01_603184_604353	cation_diffusion_facilitator_family_transporter	8019257108	Enterococcus_faecalis_1521	603184	604353	SAMN23424733
COG0055	C	FoF1-type_ATP_synthase,_beta_subunit	8019259076	Ga0599601_01_2035930_2037336	F-type_H+-transporting_ATPase_subunit_beta	8019257108	Enterococcus_faecalis_1521	2035930	2037336	SAMN23424733
COG0056	C	FoF1-type_ATP_synthase,_alpha_subunit	8019259078	Ga0599601_01_2038334_2039890	F-type_H+-transporting_ATPase_subunit_alpha	8019257108	Enterococcus_faecalis_1521	2038334	2039890	SAMN23424733
COG0057	G	Glyceraldehyde-3-phosphate_dehydrogenase/erythrose-4-phosphate_dehydrogenase	8019258363	Ga0599601_01_1266340_1267350	glyceraldehyde_3-phosphate_dehydrogenase	8019257108	Enterococcus_faecalis_1521	1266340	1267350	SAMN23424733
COG0057	G	Glyceraldehyde-3-phosphate_dehydrogenase/erythrose-4-phosphate_dehydrogenase	8019258731	Ga0599601_01_1648279_1649280	glyceraldehyde_3-phosphate_dehydrogenase	8019257108	Enterococcus_faecalis_1521	1648279	1649280	SAMN23424733
COG0060	J	Isoleucyl-tRNA_synthetase	8019257851	Ga0599601_01_749250_752030	isoleucyl-tRNA_synthetase	8019257108	Enterococcus_faecalis_1521	749250	752030	SAMN23424733
COG0061	H	NAD_kinase	8019259131	Ga0599601_01_2091459_2092256	NAD+_kinase	8019257108	Enterococcus_faecalis_1521	2091459	2092256	SAMN23424733
COG0063	F	NAD(P)H-hydrate_repair_enzyme_Nnr,_NAD(P)H-hydrate_dehydratase_domain	8019258614	Ga0599601_01_1515741_1516616	ADP-dependent_NAD(P)H-hydrate_dehydratase	8019257108	Enterococcus_faecalis_1521	1515741	1516616	SAMN23424733
COG0064	J	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_B_subunit	8019257576	Ga0599601_01_463550_464980	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_B	8019257108	Enterococcus_faecalis_1521	463550	464980	SAMN23424733
COG0072	J	Phenylalanyl-tRNA_synthetase_beta_subunit	8019257984	Ga0599601_01_878523_880946	phenylalanyl-tRNA_synthetase_beta_chain	8019257108	Enterococcus_faecalis_1521	878523	880946	SAMN23424733
COG0073	J	tRNA-binding_EMAP/Myf_domain	8019259438	Ga0599601_01_2396496_2397116	tRNA-binding_protein	8019257108	Enterococcus_faecalis_1521	2396496	2397116	SAMN23424733
COG0074	C	Succinyl-CoA_synthetase,_alpha_subunit	8019259418	Ga0599601_01_2371790_2373349	succinyl-CoA_synthetase_alpha_subunit	8019257108	Enterococcus_faecalis_1521	2371790	2373349	SAMN23424733
COG0074	C	Succinyl-CoA_synthetase,_alpha_subunit	8019257389	Ga0599601_01_268387_271398	succinyl-CoA_synthetase_alpha_subunit	8019257108	Enterococcus_faecalis_1521	268387	271398	SAMN23424733
COG0075	E F	Archaeal_aspartate_aminotransferase_or_a_related_aminotransferase,_includes_purine_catabolism_protein_PucG	8019259405	Ga0599601_01_2355662_2356870	(S)-ureidoglycine-glyoxylate_aminotransferase	8019257108	Enterococcus_faecalis_1521	2355662	2356870	SAMN23424733
COG0076	E	Glutamate_or_tyrosine_decarboxylase_or_a_related_PLP-dependent_protein	8019257485	Ga0599601_01_368936_370798	tyrosine_decarboxylase	8019257108	Enterococcus_faecalis_1521	368936	370798	SAMN23424733
COG0077	E	Prephenate_dehydratase	8019258403	Ga0599601_01_1303840_1304688	prephenate_dehydratase	8019257108	Enterococcus_faecalis_1521	1303840	1304688	SAMN23424733
COG0078	E	Ornithine_carbamoyltransferase	8019257200	Ga0599601_01_110142_111161	ornithine_carbamoyltransferase	8019257108	Enterococcus_faecalis_1521	110142	111161	SAMN23424733
COG0078	E	Ornithine_carbamoyltransferase	8019259047	Ga0599601_01_2003420_2004613	knotted_carbamoyltransferase_YgeW	8019257108	Enterococcus_faecalis_1521	2003420	2004613	SAMN23424733
COG0078	E	Ornithine_carbamoyltransferase	8019257582	Ga0599601_01_469533_470552	putrescine_carbamoyltransferase	8019257108	Enterococcus_faecalis_1521	469533	470552	SAMN23424733
COG0080	J	Ribosomal_protein_L11	8019259168	Ga0599601_01_2132174_2132596	large_subunit_ribosomal_protein_L11	8019257108	Enterococcus_faecalis_1521	2132174	2132596	SAMN23424733
COG0081	J	Ribosomal_protein_L1	8019259167	Ga0599601_01_2131373_2132062	large_subunit_ribosomal_protein_L1	8019257108	Enterococcus_faecalis_1521	2131373	2132062	SAMN23424733
COG0082	E	Chorismate_synthase	8019258399	Ga0599601_01_1299719_1300885	chorismate_synthase	8019257108	Enterococcus_faecalis_1521	1299719	1300885	SAMN23424733
COG0083	E	Homoserine_kinase	8019258925	Ga0599601_01_1874391_1875254	homoserine_kinase	8019257108	Enterococcus_faecalis_1521	1874391	1875254	SAMN23424733
COG0084	N	Tat_protein_secretion_system_quality_control_protein_TatD_(DNase_activity)	8019257777	Ga0599601_01_683125_683895	TatD_DNase_family_protein	8019257108	Enterococcus_faecalis_1521	683125	683895	SAMN23424733
COG0085	K	DNA-directed_RNA_polymerase,_beta_subunit/140_kD_subunit	8019259621	Ga0599601_01_2580598_2584212	DNA-directed_RNA_polymerase_subunit_beta	8019257108	Enterococcus_faecalis_1521	2580598	2584212	SAMN23424733
COG0086	K	DNA-directed_RNA_polymerase,_beta'_subunit/160_kD_subunit	8019259620	Ga0599601_01_2576778_2580431	DNA-directed_RNA_polymerase_subunit_beta'	8019257108	Enterococcus_faecalis_1521	2576778	2580431	SAMN23424733
COG0087	J	Ribosomal_protein_L3	8019257245	Ga0599601_01_156270_156899	large_subunit_ribosomal_protein_L3	8019257108	Enterococcus_faecalis_1521	156270	156899	SAMN23424733
COG0088	J	Ribosomal_protein_L4	8019257246	Ga0599601_01_156925_157548	large_subunit_ribosomal_protein_L4	8019257108	Enterococcus_faecalis_1521	156925	157548	SAMN23424733
COG0089	J	Ribosomal_protein_L23	8019257247	Ga0599601_01_157548_157838	large_subunit_ribosomal_protein_L23	8019257108	Enterococcus_faecalis_1521	157548	157838	SAMN23424733
COG0090	J	Ribosomal_protein_L2	8019257248	Ga0599601_01_157878_158708	large_subunit_ribosomal_protein_L2	8019257108	Enterococcus_faecalis_1521	157878	158708	SAMN23424733
COG0091	J	Ribosomal_protein_L22	8019257250	Ga0599601_01_159051_159398	large_subunit_ribosomal_protein_L22	8019257108	Enterococcus_faecalis_1521	159051	159398	SAMN23424733
COG0092	J	Ribosomal_protein_S3	8019257251	Ga0599601_01_159465_160121	small_subunit_ribosomal_protein_S3	8019257108	Enterococcus_faecalis_1521	159465	160121	SAMN23424733
COG0093	J	Ribosomal_protein_L14	8019257255	Ga0599601_01_161084_161452	large_subunit_ribosomal_protein_L14	8019257108	Enterococcus_faecalis_1521	161084	161452	SAMN23424733
COG0094	J	Ribosomal_protein_L5	8019257257	Ga0599601_01_161825_162364	large_subunit_ribosomal_protein_L5	8019257108	Enterococcus_faecalis_1521	161825	162364	SAMN23424733
COG0095	H	Lipoate-protein_ligase_A	8019259189	Ga0599601_01_2151819_2152823	lipoate-protein_ligase_A	8019257108	Enterococcus_faecalis_1521	2151819	2152823	SAMN23424733
COG0095	H	Lipoate-protein_ligase_A	8019257500	Ga0599601_01_382796_383809	lipoate-protein_ligase_A	8019257108	Enterococcus_faecalis_1521	382796	383809	SAMN23424733
COG0095	H	Lipoate-protein_ligase_A	8019258011	Ga0599601_01_903043_903894	octanoyl-[GcvH]:protein_N-octanoyltransferase	8019257108	Enterococcus_faecalis_1521	903043	903894	SAMN23424733
COG0096	J	Ribosomal_protein_S8	8019257259	Ga0599601_01_162604_163002	small_subunit_ribosomal_protein_S8	8019257108	Enterococcus_faecalis_1521	162604	163002	SAMN23424733
COG0097	J	Ribosomal_protein_L6P/L9E	8019257260	Ga0599601_01_163034_163570	large_subunit_ribosomal_protein_L6	8019257108	Enterococcus_faecalis_1521	163034	163570	SAMN23424733
COG0098	J	Ribosomal_protein_S5	8019257262	Ga0599601_01_164108_164608	small_subunit_ribosomal_protein_S5	8019257108	Enterococcus_faecalis_1521	164108	164608	SAMN23424733
COG0099	J	Ribosomal_protein_S13	8019257269	Ga0599601_01_167924_168289	small_subunit_ribosomal_protein_S13	8019257108	Enterococcus_faecalis_1521	167924	168289	SAMN23424733
COG0100	J	Ribosomal_protein_S11	8019257270	Ga0599601_01_168317_168706	small_subunit_ribosomal_protein_S11	8019257108	Enterococcus_faecalis_1521	168317	168706	SAMN23424733
COG0101	J	tRNA_U38,U39,U40_pseudouridine_synthase_TruA	8019257279	Ga0599601_01_175547_176296	tRNA_pseudouridine38-40_synthase	8019257108	Enterococcus_faecalis_1521	175547	176296	SAMN23424733
COG0101	J	tRNA_U38,U39,U40_pseudouridine_synthase_TruA	8019259426	Ga0599601_01_2383107_2383847	tRNA_pseudouridine38-40_synthase	8019257108	Enterococcus_faecalis_1521	2383107	2383847	SAMN23424733
COG0102	J	Ribosomal_protein_L13	8019259614	Ga0599601_01_2572345_2572788	large_subunit_ribosomal_protein_L13	8019257108	Enterococcus_faecalis_1521	2572345	2572788	SAMN23424733
COG0103	J	Ribosomal_protein_S9	8019259613	Ga0599601_01_2571939_2572331	small_subunit_ribosomal_protein_S9	8019257108	Enterococcus_faecalis_1521	2571939	2572331	SAMN23424733
COG0104	F	Adenylosuccinate_synthase	8019257120	Ga0599601_01_14989_16281	adenylosuccinate_synthase	8019257108	Enterococcus_faecalis_1521	14989	16281	SAMN23424733
COG0105	F	Nucleoside_diphosphate_kinase	8019257885	Ga0599601_01_786468_786869	nucleoside-diphosphate_kinase	8019257108	Enterococcus_faecalis_1521	786468	786869	SAMN23424733
COG0110	R	Acetyltransferase_(isoleucine_patch_superfamily)	8019257963	Ga0599601_01_855348_856259	acetyltransferase-like_isoleucine_patch_superfamily_enzyme	8019257108	Enterococcus_faecalis_1521	855348	856259	SAMN23424733
COG0110	R	Acetyltransferase_(isoleucine_patch_superfamily)	8019257931	Ga0599601_01_827198_827836	maltose_O-acetyltransferase	8019257108	Enterococcus_faecalis_1521	827198	827836	SAMN23424733
COG0110	R	Acetyltransferase_(isoleucine_patch_superfamily)	8019259370	Ga0599601_01_2319876_2320457	acetyltransferase-like_isoleucine_patch_superfamily_enzyme	8019257108	Enterococcus_faecalis_1521	2319876	2320457	SAMN23424733
COG0110	R	Acetyltransferase_(isoleucine_patch_superfamily)<<>>COG1605	8019257289	Ga0599601_01_183611_184456	maltose_O-acetyltransferase	8019257108	Enterococcus_faecalis_1521	183611	184456	SAMN23424733
COG0111	H	Phosphoglycerate_dehydrogenase_or_related_dehydrogenase	8019259527	Ga0599601_01_2484980_2485981	phosphoglycerate_dehydrogenase-like_enzyme	8019257108	Enterococcus_faecalis_1521	2484980	2485981	SAMN23424733
COG0111	H	Phosphoglycerate_dehydrogenase_or_related_dehydrogenase	8019259287	Ga0599601_01_2243480_2244442	phosphoglycerate_dehydrogenase-like_enzyme	8019257108	Enterococcus_faecalis_1521	2243480	2244442	SAMN23424733
COG0112	E	Glycine/serine_hydroxymethyltransferase	8019259023	Ga0599601_01_1976062_1977300	glycine_hydroxymethyltransferase	8019257108	Enterococcus_faecalis_1521	1976062	1977300	SAMN23424733
COG0115	E H	Branched-chain_amino_acid_aminotransferase/4-amino-4-deoxychorismate_lyase	8019258617	Ga0599601_01_1518871_1519890	branched-chain_amino_acid_aminotransferase	8019257108	Enterococcus_faecalis_1521	1518871	1519890	SAMN23424733
COG0116	J	23S_rRNA_G2445_N2-methylase_RlmL	8019258020	Ga0599601_01_912141_913304	putative_N6-adenine-specific_DNA_methylase	8019257108	Enterococcus_faecalis_1521	912141	913304	SAMN23424733
COG0120	G	Ribose_5-phosphate_isomerase	8019257237	Ga0599601_01_147681_148361	ribose_5-phosphate_isomerase_A	8019257108	Enterococcus_faecalis_1521	147681	148361	SAMN23424733
COG0124	J	Histidyl-tRNA_synthetase	8019258738	Ga0599601_01_1655633_1656934	histidyl-tRNA_synthetase	8019257108	Enterococcus_faecalis_1521	1655633	1656934	SAMN23424733
COG0125	F	Thymidylate_kinase	8019259210	Ga0599601_01_2172841_2173479	dTMP_kinase	8019257108	Enterococcus_faecalis_1521	2172841	2173479	SAMN23424733
COG0126	G	3-phosphoglycerate_kinase	8019258730	Ga0599601_01_1646959_1648152	phosphoglycerate_kinase	8019257108	Enterococcus_faecalis_1521	1646959	1648152	SAMN23424733
COG0127	F	Inosine/xanthosine_triphosphate_pyrophosphatase,_all-alpha_NTP-PPase_family	8019259644	Ga0599601_01_2607608_2608201	XTP/dITP_diphosphohydrolase	8019257108	Enterococcus_faecalis_1521	2607608	2608201	SAMN23424733
COG0128	E	5-enolpyruvylshikimate-3-phosphate_synthase	8019258401	Ga0599601_01_1302026_1303306	3-phosphoshikimate_1-carboxyvinyltransferase	8019257108	Enterococcus_faecalis_1521	1302026	1303306	SAMN23424733
COG0130	J	tRNA_U55_pseudouridine_synthase_TruB,_may_also_work_on_U342_of_tmRNA	8019258168	Ga0599601_01_1061520_1062440	tRNA_pseudouridine55_synthase	8019257108	Enterococcus_faecalis_1521	1061520	1062440	SAMN23424733
COG0136	E	Aspartate-semialdehyde_dehydrogenase	8019258049	Ga0599601_01_939519_940586	aspartate-semialdehyde_dehydrogenase	8019257108	Enterococcus_faecalis_1521	939519	940586	SAMN23424733
COG0138	F	AICAR_transformylase/IMP_cyclohydrolase_PurH	8019258603	Ga0599601_01_1504369_1505910	phosphoribosylaminoimidazolecarboxamide_formyltransferase/IMP_cyclohydrolase	8019257108	Enterococcus_faecalis_1521	1504369	1505910	SAMN23424733
COG0142	H	Geranylgeranyl_pyrophosphate_synthase	8019258766	Ga0599601_01_1683488_1684468	heptaprenyl_diphosphate_synthase	8019257108	Enterococcus_faecalis_1521	1683488	1684468	SAMN23424733
COG0142	H	Geranylgeranyl_pyrophosphate_synthase	8019259637	Ga0599601_01_2599801_2600787	heptaprenyl_diphosphate_synthase	8019257108	Enterococcus_faecalis_1521	2599801	2600787	SAMN23424733
COG0142	H	Geranylgeranyl_pyrophosphate_synthase	8019257829	Ga0599601_01_728067_728948	geranylgeranyl_diphosphate_synthase_type_II	8019257108	Enterococcus_faecalis_1521	728067	728948	SAMN23424733
COG0143	J	Methionyl-tRNA_synthetase<<>>COG0073	8019257773	Ga0599601_01_677654_679663	methionyl-tRNA_synthetase	8019257108	Enterococcus_faecalis_1521	677654	679663	SAMN23424733
COG0144	J	16S_rRNA_C967_or_C1407_C5-methylase,_RsmB/RsmF_family	8019259509	Ga0599601_01_2468914_2470293	16S_rRNA_(cytosine967-C5)-methyltransferase	8019257108	Enterococcus_faecalis_1521	2468914	2470293	SAMN23424733
COG0145	E Q	N-methylhydantoinase_A/oxoprolinase/acetone_carboxylase,_beta_subunit	8019259650	Ga0599601_01_2613162_2614715	N-methylhydantoinase_A/oxoprolinase/acetone_carboxylase_beta_subunit	8019257108	Enterococcus_faecalis_1521	2613162	2614715	SAMN23424733
COG0148	G	Enolase	8019258728	Ga0599601_01_1644725_1646023	enolase	8019257108	Enterococcus_faecalis_1521	1644725	1646023	SAMN23424733
COG0149	G	Triosephosphate_isomerase	8019258729	Ga0599601_01_1646155_1646910	triosephosphate_isomerase	8019257108	Enterococcus_faecalis_1521	1646155	1646910	SAMN23424733
COG0150	F	Phosphoribosylaminoimidazole_(AIR)_synthetase	8019258605	Ga0599601_01_1506476_1507507	phosphoribosylformylglycinamidine_cyclo-ligase	8019257108	Enterococcus_faecalis_1521	1506476	1507507	SAMN23424733
COG0151	F	Phosphoribosylamine-glycine_ligase	8019258602	Ga0599601_01_1503103_1504350	phosphoribosylamine--glycine_ligase	8019257108	Enterococcus_faecalis_1521	1503103	1504350	SAMN23424733
COG0152	F	Phosphoribosylaminoimidazole-succinocarboxamide_synthase	8019258610	Ga0599601_01_1512080_1512793	phosphoribosylaminoimidazole-succinocarboxamide_synthase	8019257108	Enterococcus_faecalis_1521	1512080	1512793	SAMN23424733
COG0153	G	Galactokinase	8019257934	Ga0599601_01_829491_830654	galactokinase	8019257108	Enterococcus_faecalis_1521	829491	830654	SAMN23424733
COG0154	J	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_A_subunit_or_related_amidase	8019257575	Ga0599601_01_462081_463550	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_A	8019257108	Enterococcus_faecalis_1521	462081	463550	SAMN23424733
